po_number,vendor_name,po_amount,po_date
PO-1001,Acme Office Supplies,452.10,2026-08-01
PO-1002,Bright Cleaning Co,300.00,2026-08-03
PO-1003,Northwind Software LLC,1200.00,2026-08-05
PO-1004,Summit Logistics,875.50,2026-08-06
PO-1005,Vertex Marketing Group,2400.00,2026-08-10
PO-1006,Blue River Catering,540.00,2026-08-12
PO-1007,Peak Hardware,615.25,2026-08-14
PO-1008,Stellar Consulting,3000.00,2026-08-15
PO-1009,Acme Office Supplies,210.00,2026-08-18
PO-1010,Summit Logistics,1400.00,2026-08-20
PO-1011,Global Systems Partners,150000.00,2026-08-20
